datetime,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
202109042145,92,57,37,101,89,51,24,45,89,30,51,34,39,37,91,60,36,103,90,53,31,47,83,29,51,37,38,38
202109042200,87,54,36,94,87,48,22,41,92,30,56,34,40,38,86,57,35,96,88,51,29,43,86,29,55,37,39,39
202109042215,76,47,33,101,81,44,23,41,91,29,55,33,44,40,75,49,33,102,82,48,30,43,85,28,55,36,42,40
202109042230,67,44,36,91,72,43,17,41,93,26,50,33,43,44,66,46,36,92,73,47,25,43,86,25,50,36,41,44
202109042245,61,38,31,93,72,43,18,40,93,26,50,30,38,46,60,40,31,94,73,47,26,42,86,25,50,34,37,46
202109042300,61,39,26,93,67,43,20,39,88,25,49,28,39,40,60,41,26,94,68,46,27,41,82,25,49,31,37,40
202109042315,56,39,25,88,66,37,17,36,83,26,49,29,36,40,55,41,25,89,67,41,24,38,77,25,48,32,35,40
202109042330,40,31,19,72,54,29,16,30,65,23,43,20,28,34,39,32,20,72,55,32,21,32,61,22,42,23,27,33
202109042345,35,29,20,65,45,25,15,28,58,17,38,17,21,32,34,30,20,65,46,28,19,30,54,17,37,20,20,32
202109050000,38,24,20,64,44,26,13,23,57,15,33,14,22,28,37,26,20,64,45,28,18,25,53,15,32,17,21,28
202109050015,38,23,19,57,45,23,11,22,50,16,32,16,17,28,36,25,19,58,46,25,15,24,47,16,31,19,17,28
202109050030,30,21,21,55,37,22,11,20,50,15,27,15,14,27,29,22,21,55,38,25,15,22,47,15,26,18,14,27
202109050045,28,20,17,47,28,19,10,20,48,15,23,16,15,25,27,21,17,48,30,22,14,22,45,15,23,19,15,24
202109050100,27,22,18,45,28,14,12,17,45,12,19,15,18,20,26,23,18,46,30,17,15,19,42,12,19,17,17,20
202109050115,23,18,15,45,24,15,7,14,41,12,20,15,19,20,21,19,15,45,26,18,11,16,38,12,20,17,18,20
202109050130,20,14,13,42,22,15,7,13,39,10,17,14,16,19,18,15,13,43,23,17,10,15,36,10,17,16,16,19
202109050145,17,14,11,37,24,14,7,13,34,13,14,11,16,17,16,15,11,37,25,16,10,15,32,13,14,13,15,17
202109050200,18,14,10,32,17,14,6,12,34,11,14,10,15,16,16,15,10,33,19,16,9,14,32,10,14,12,14,15
202109050215,16,14,11,32,16,12,6,12,38,10,13,9,11,18,14,15,11,33,18,15,10,14,35,10,13,11,11,17
202109050230,14,12,10,32,16,11,6,12,37,7,11,8,12,18,12,13,10,33,18,14,9,14,34,7,11,10,11,18
202109050245,16,10,9,31,15,9,6,12,35,6,10,9,11,18,14,11,9,32,17,12,9,14,33,6,10,11,11,18
202109050300,15,13,8,35,18,9,6,11,33,8,10,9,9,19,14,14,8,36,19,11,9,13,31,8,10,11,9,18
202109050315,17,12,7,32,13,8,2,9,31,8,7,7,7,15,15,13,7,33,15,10,5,11,29,8,7,9,7,14
202109050330,15,12,7,32,13,8,1,8,27,8,9,7,9,14,13,13,7,33,15,10,4,10,25,8,9,9,9,13
202109050345,14,11,6,34,13,6,1,9,25,9,10,5,8,13,12,12,6,35,15,8,4,11,23,9,10,7,8,13
202109050400,14,12,5,36,14,7,2,8,25,8,11,5,9,12,12,13,5,36,16,9,4,10,23,8,11,7,8,11
202109050415,18,11,0,36,13,7,2,9,25,7,9,5,10,12,16,12,1,37,15,9,4,11,23,7,9,7,9,11
202109050430,16,11,0,29,13,7,2,10,26,8,6,4,9,13,14,12,1,30,15,9,5,12,24,8,7,6,8,12
202109050445,15,10,0,26,13,7,1,8,27,9,6,5,9,14,13,11,1,27,15,9,4,10,25,8,7,7,8,13
202109050500,11,11,6,24,12,6,7,9,22,7,8,6,9,13,10,11,6,25,14,8,9,11,21,7,8,8,9,12
202109050515,10,10,5,25,12,7,7,9,20,8,9,6,8,13,8,10,5,26,14,8,8,11,19,8,9,8,8,12
202109050530,9,9,7,29,11,7,6,7,22,8,8,7,8,12,7,10,7,30,12,9,8,9,21,8,8,9,8,12
202109050545,19,14,9,35,17,11,8,12,33,14,13,9,13,13,17,15,9,36,19,13,11,14,31,14,13,11,12,13
202109050600,18,17,10,40,22,14,9,12,40,15,18,11,15,13,16,17,10,41,23,16,12,14,37,15,18,13,14,13
202109050615,19,15,12,44,23,13,9,14,42,15,19,11,17,14,17,16,12,45,24,16,12,16,39,15,19,13,16,14
202109050630,26,17,13,48,27,14,8,19,37,15,18,11,20,14,24,18,13,49,29,16,11,21,35,15,19,13,19,14
202109050645,28,20,15,53,25,13,8,19,42,15,19,16,23,17,26,21,15,53,27,16,12,21,39,14,20,18,22,17
202109050700,32,23,19,63,28,18,10,27,51,19,25,19,25,19,30,24,18,63,30,21,14,28,47,18,25,21,24,19
202109050715,31,27,18,58,28,20,10,29,51,20,30,22,26,19,30,28,18,59,30,23,14,30,47,19,30,23,25,19
202109050730,33,27,17,65,32,21,11,26,58,23,32,22,27,19,31,28,17,65,34,24,16,27,54,22,32,23,26,19
202109050745,32,27,18,64,37,22,10,34,56,27,33,24,32,21,31,28,18,64,38,25,15,35,52,26,33,25,31,21
202109050800,36,32,22,68,36,26,11,39,65,27,39,26,35,21,35,32,21,68,38,29,17,40,60,26,39,27,34,21
202109050815,38,34,23,66,48,27,11,32,60,30,39,26,37,23,37,34,22,66,49,30,16,34,56,29,40,28,35,23
202109050830,42,31,23,71,49,29,12,36,60,30,37,33,40,24,41,32,22,71,50,31,17,37,56,29,38,34,39,24
202109050845,47,29,25,70,52,29,13,39,59,33,34,39,36,24,46,31,24,71,53,31,18,40,55,31,35,40,36,25
202109050900,46,30,26,74,51,36,13,47,64,31,40,35,42,24,45,32,25,75,52,38,18,48,60,30,41,36,41,25
